suite,space_m,node_count,packet_size_bits,initial_energy_j,pso_c1,pso_c2,pso_omega,transmission_range_m,cluster_head_ratio,eulc_candidate_ratio,pso_particles,pso_iterations,runs,seed_start,seed_end,max_rounds,fnd_mean,fnd_std,fnd_min,fnd_max,hnd_mean,lnd_mean,first_5pct_mean,residual_energy_pct_at_stop,dead_nodes_pct_at_stop,packets_received_mean,alive_nodes_mean,censored_runs,elapsed_sec
range_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.45
range_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,150.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.42
range_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,200.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.59
range_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,200.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.73
range_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,200.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.39
range_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,200.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.44
range_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,250.0,0.2,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.6
range_sweep_100m_v2,100,200,6400,0.5,1.5,1.5,0.65,250.0,0.2,0.2,4,3,3,42,44,6000,319,86.5679,199,400,,,,77.72,0.5,3123,199,0,0.71
range_sweep_100m_v2,100,300,6400,0.5,1.5,1.5,0.65,250.0,0.2,0.2,4,3,3,42,44,6000,65,9.9331,57,79,,,,95.46,0.33,763.3333,299,0,0.39
range_sweep_100m_v2,100,500,6400,0.5,1.5,1.5,0.65,250.0,0.2,0.2,4,3,3,42,44,6000,38.6667,1.2472,37,40,,,,97.29,0.2,766.6667,499,0,0.45
ch_ratio_sweep_100m_v2,100,100,6400,0.5,1.5,1.5,0.65,150.0,0.1,0.2,4,3,3,42,44,6000,372.6667,232.7249,60,618,,,,74.05,1.0,2002.3333,99,0,0.65
